the	DETdetPROPN	Rocket	0
Big	PROPNcompoundPROPN	Falcon	0
Falcon	PROPNcompoundPROPN	Rocket	0
Rocket	PROPNnsubjNOUN	vehicle	0
(	PUNCTpunctVERB	shorten	0
officially	ADVadvmodVERB	shorten	0
shorten	VERBaclPROPN	Rocket	0
to	ADPcaseNOUN	bfr	0
bfr	NOUNoblVERB	shorten	0
0	ABOUT	bfr	0
)	PUNCTpunctVERB	shorten	0
be	AUXcopNOUN	vehicle	0
a	DETdetNOUN	vehicle	0
privately	ADVadvmodVERB	fund	0
fund	VERBamodNOUN	vehicle	0
fully	ADVadvmodADJ	reusable	0
reusable	ADJamodNOUN	vehicle	0
launch	NOUNcompoundNOUN	vehicle	0
vehicle	NOUN_PREDICATE_OF	0	0
and	CCONJccNOUN	system	0
spacecraft	NOUNcompoundNOUN	system	0
system	NOUNconjNOUN	vehicle	0
in	ADPcaseNOUN	development	0
development	NOUNnmodNOUN	vehicle	0
by	ADPcasePROPN	SpaceX	0
SpaceX	PROPNnmodNOUN	development	0
.	PUNCTpunctNOUN	vehicle	0
the	DETdetNOUN	architecture	1
overall	ADJamodNOUN	architecture	1
space	NOUNcompoundNOUN	vehicle	1
vehicle	NOUNcompoundNOUN	architecture	1
architecture	NOUNnsubjVERB	include	1
1	ABOUT	architecture	1
include	VERB_PREDICATE_OF	1	1
both	DETdetNOUN	vehicle	1
launch	NOUNcompoundNOUN	vehicle	1
vehicle	NOUNobjVERB	include	1
1	ABOUT	vehicle	1
and	CCONJccNOUN	spacecraft	1
spacecraft	NOUNconjNOUN	vehicle	1
,	PUNCTpunctNOUN	infrastructure	1
as	ADVccNOUN	infrastructure	1
well	ADVfixedADV	as	1
as	ADPfixedADV	as	1
ground	NOUNcompoundNOUN	infrastructure	1
infrastructure	NOUNconjNOUN	vehicle	1
for	ADPcaseNOUN	launch	1
rapid	ADJamodNOUN	launch	1
launch	NOUNnmodNOUN	infrastructure	1
and	CCONJccNOUN	relaunch	1
relaunch	NOUNconjNOUN	launch	1
,	PUNCTpunctNOUN	technology	1
and	CCONJccNOUN	technology	1
zero-gravity	NOUNcompoundNOUN	propellant	1
propellant	NOUNcompoundNOUN	technology	1
transfer	NOUNcompoundNOUN	technology	1
technology	NOUNconjNOUN	vehicle	1
to	PARTmarkVERB	deploy	1
be	AUXaux:passVERB	deploy	1
deploy	VERBaclNOUN	technology	1
in	ADPcaseNOUN	orbit	1
low	ADJamodNOUN	orbit	1
Earth	PROPNcompoundNOUN	orbit	1
orbit	NOUNoblVERB	deploy	1
1	ABOUT	orbit	1
(	PUNCTpunctPROPN	LEO	1
LEO	PROPNapposNOUN	orbit	1
)	PUNCTpunctPROPN	LEO	1
.	PUNCTpunctVERB	include	1
the	DETdetNOUN	capacity	2
payload	NOUNcompoundNOUN	capacity	2
capacity	NOUNnsubjVERB	make	2
2	ABOUT	capacity	2
to	ADPcaseNOUN	orbit	2
Earth	PROPNcompoundNOUN	orbit	2
orbit	NOUNnmodNOUN	capacity	2
of	ADPcaseNOUN	kg	2
at	ADVcaseADV	least	2
least	ADVnmodNUM	100,000	2
100,000	NUMnummodNOUN	kg	2
kg	NOUNnmodNOUN	capacity	2
(	PUNCTpunctNOUN	lb	2
220,000	NUMnummodNOUN	lb	2
lb	NOUNapposNOUN	kg	2
)	PUNCTpunctNOUN	lb	2
make	VERB_PREDICATE_OF	2	2
bfr	NOUNiobjVERB	make	2
2	ABOUT	bfr	2
a	DETdetNOUN	vehicle	2
super	ADVadvmodNOUN	lift	2
heavy	ADJamodNOUN	lift	2
-	PUNCTpunctNOUN	lift	2
lift	NOUNcompoundNOUN	vehicle	2
launch	NOUNcompoundNOUN	vehicle	2
vehicle	NOUNobjVERB	make	2
2	ABOUT	vehicle	2
.	PUNCTpunctVERB	make	2
the	DETdetNOUN	flight	3
first	ADJamodNOUN	flight	3
orbital	ADJamodNOUN	flight	3
flight	NOUNnsubj:passVERB	plan	3
3	ABOUT	flight	3
be	AUXaux:passVERB	plan	3
tentatively	ADVadvmodVERB	plan	3
plan	VERB_PREDICATE_OF	3	3
for	ADPcaseNUM	2020	3
2020	NUMoblVERB	plan	3
.	PUNCTpunctVERB	plan	3
SpaceX	PROPNnsubjVERB	develop	4
have	AUXauxVERB	develop	4
be	AUXauxVERB	develop	4
develop	VERB_PREDICATE_OF	4	4
a	DETdetNOUN	vehicle	4
super	ADVadvmodNOUN	lift	4
heavy	ADJamodNOUN	lift	4
-	PUNCTpunctNOUN	lift	4
lift	NOUNcompoundNOUN	launch	4
launch	NOUNcompoundNOUN	vehicle	4
vehicle	NOUNobjVERB	develop	4
4	ABOUT	vehicle	4
for	ADPcaseNOUN	year	4
many	ADJamodNOUN	year	4
year	NOUNoblVERB	develop	4
4	ABOUT	year	4
,	PUNCTpunctVERB	develop	4
with	ADPcaseNOUN	design	4
the	DETdetNOUN	design	4
exact	ADJamodNOUN	design	4
design	NOUNoblVERB	develop	4
4	ABOUT	design	4
and	CCONJccNOUN	nomenclature	4
nomenclature	NOUNconjNOUN	design	4
of	ADPcaseNOUN	vehicle	4
the	DETdetNOUN	vehicle	4
vehicle	NOUNnmodNOUN	design	4
